FontName,ActualChar,sim0,sim1,sim2,sim3
AdventPro-ExtraLight,b,d,D,s,S
AdventPro-ExtraLight,c,r,R,e,E
AdventPro-ExtraLight,d,h,H,b,B
AdventPro-ExtraLight,e,c,C,a,A
AdventPro-ExtraLight,f,e,E,r,R
AdventPro-ExtraLight,g,q,Q,p,P
AdventPro-ExtraLight,h,b,B,k,K
AdventPro-ExtraLight,i,j,J,l,L
AdventPro-ExtraLight,j,i,I,g,G
AdventPro-ExtraLight,k,r,R,x,X
AdventPro-ExtraLight,l,i,I,t,T
AdventPro-ExtraLight,m,n,N,u,U
AdventPro-ExtraLight,n,r,R,a,A
AdventPro-ExtraLight,o,u,U,v,V
AdventPro-ExtraLight,p,r,R,d,D
AdventPro-ExtraLight,q,p,P,a,A
AdventPro-ExtraLight,r,p,P,n,N
AdventPro-ExtraLight,s,g,G,c,C
AdventPro-ExtraLight,t,l,L,i,I
AdventPro-ExtraLight,u,n,N,v,V
AdventPro-ExtraLight,v,u,U,o,O
AdventPro-ExtraLight,w,v,V,n,N
AdventPro-ExtraLight,x,y,Y,k,K
AdventPro-ExtraLight,y,u,U,v,V
AdventPro-ExtraLight,z,e,E,s,S
AdventPro-Light,a,d,D,n,N
AdventPro-Light,b,d,D,s,S
AdventPro-Light,c,r,R,e,E
AdventPro-Light,d,b,B,p,P
AdventPro-Light,e,s,S,a,A
AdventPro-Light,f,e,E,s,S
AdventPro-Light,g,q,Q,y,Y
AdventPro-Light,h,b,B,k,K
AdventPro-Light,i,j,J,l,L
AdventPro-Light,j,i,I,g,G
AdventPro-Light,k,r,R,x,X
AdventPro-Light,l,i,I,t,T
AdventPro-Light,m,n,N,a,A
AdventPro-Light,n,o,O,r,R
AdventPro-Light,o,u,U,v,V
AdventPro-Light,p,r,R,b,B
AdventPro-Light,q,p,P,y,Y
AdventPro-Light,r,n,N,p,P
AdventPro-Light,s,g,G,c,C
AdventPro-Light,t,l,L,f,F
AdventPro-Light,u,n,N,v,V
AdventPro-Light,v,u,U,o,O
AdventPro-Light,w,v,V,n,N
AdventPro-Light,x,k,K,y,Y
AdventPro-Light,y,u,U,v,V
AdventPro-Light,z,e,E,s,S
AdventPro-Medium,a,d,D,n,N
AdventPro-Medium,b,d,D,h,H
AdventPro-Medium,c,r,R,e,E
AdventPro-Medium,d,b,B,c,C
AdventPro-Medium,e,g,G,s,S
AdventPro-Medium,f,e,E,r,R
AdventPro-Medium,g,q,Q,p,P
AdventPro-Medium,h,n,N,b,B
AdventPro-Medium,i,j,J,l,L
AdventPro-Medium,j,i,I,g,G
AdventPro-Medium,k,r,R,x,X
AdventPro-Medium,l,i,I,z,Z
AdventPro-Medium,m,n,N,w,W
AdventPro-Medium,n,u,U,o,O
AdventPro-Medium,o,u,U,d,D
AdventPro-Medium,p,r,R,f,F
AdventPro-Medium,q,p,P,r,R
AdventPro-Medium,r,n,N,s,S
AdventPro-Medium,s,g,G,c,C
AdventPro-Medium,t,l,L,i,I
AdventPro-Medium,u,n,N,a,A
AdventPro-Medium,v,u,U,o,O
AdventPro-Medium,w,v,V,n,N
AdventPro-Medium,x,k,K,z,Z
AdventPro-Medium,y,v,V,h,H
AdventPro-Medium,z,s,S,e,E
AdventPro-Regular,a,d,D,n,N
AdventPro-Regular,b,d,D,h,H
AdventPro-Regular,c,r,R,e,E
AdventPro-Regular,d,b,B,p,P
AdventPro-Regular,e,s,S,g,G
AdventPro-Regular,f,e,E,s,S
AdventPro-Regular,g,q,Q,p,P
AdventPro-Regular,h,b,B,k,K
AdventPro-Regular,i,j,J,l,L
AdventPro-Regular,j,i,I,g,G
AdventPro-Regular,k,r,R,x,X
AdventPro-Regular,l,i,I,t,T
AdventPro-Regular,m,n,N,w,W
AdventPro-Regular,n,u,U,o,O
AdventPro-Regular,o,u,U,v,V
AdventPro-Regular,p,r,R,m,M
AdventPro-Regular,q,p,P,g,G
AdventPro-Regular,r,n,N,p,P
AdventPro-Regular,s,g,G,c,C
AdventPro-Regular,t,e,E,l,L
AdventPro-Regular,u,n,N,a,A
AdventPro-Regular,v,u,U,o,O
AdventPro-Regular,w,v,V,n,N
AdventPro-Regular,x,k,K,v,V
AdventPro-Regular,y,v,V,u,U
AdventPro-Regular,z,s,S,e,E
AdventPro-SemiBold,a,d,D,n,N
AdventPro-SemiBold,b,d,D,s,S
AdventPro-SemiBold,c,r,R,e,E
AdventPro-SemiBold,d,o,O,c,C
AdventPro-SemiBold,e,c,C,z,Z
AdventPro-SemiBold,f,e,E,i,I
AdventPro-SemiBold,g,q,Q,e,E
AdventPro-SemiBold,h,n,N,k,K
AdventPro-SemiBold,i,j,J,l,L
AdventPro-SemiBold,j,i,I,z,Z
AdventPro-SemiBold,k,r,R,t,T
AdventPro-SemiBold,l,i,I,e,E
AdventPro-SemiBold,m,n,N,w,W
AdventPro-SemiBold,n,o,O,u,U
AdventPro-SemiBold,o,u,U,e,E
AdventPro-SemiBold,p,r,R,m,M
AdventPro-SemiBold,q,r,R,a,A
AdventPro-SemiBold,r,n,N,s,S
AdventPro-SemiBold,s,c,C,g,G
AdventPro-SemiBold,t,i,I,l,L
AdventPro-SemiBold,u,v,V,n,N
AdventPro-SemiBold,v,u,U,o,O
AdventPro-SemiBold,w,v,V,n,N
AdventPro-SemiBold,x,o,O,z,Z
AdventPro-SemiBold,y,v,V,u,U
AdventPro-SemiBold,z,e,E,g,G
AdventPro-Thin,a,d,D,n,N
AdventPro-Thin,b,d,D,h,H
AdventPro-Thin,c,e,E,r,R
AdventPro-Thin,d,b,B,h,H
AdventPro-Thin,e,c,C,s,S
AdventPro-Thin,f,e,E,a,A
AdventPro-Thin,g,q,Q,p,P
AdventPro-Thin,h,b,B,r,R
AdventPro-Thin,i,j,J,l,L
AdventPro-Thin,j,i,I,g,G
AdventPro-Thin,k,r,R,x,X
AdventPro-Thin,l,i,I,t,T
AdventPro-Thin,m,n,N,u,U
AdventPro-Thin,n,a,A,r,R
AdventPro-Thin,o,u,U,a,A
AdventPro-Thin,p,r,R,d,D
AdventPro-Thin,q,p,P,g,G
AdventPro-Thin,r,p,P,f,F
AdventPro-Thin,s,c,C,g,G
AdventPro-Thin,t,i,I,l,L
AdventPro-Thin,u,v,V,n,N
AdventPro-Thin,v,u,U,o,O
AdventPro-Thin,w,v,V,n,N
AdventPro-Thin,x,k,K,y,Y
AdventPro-Thin,y,u,U,v,V
AdventPro-Thin,z,e,E,s,S
AguafinaScript-Regular,a,n,N,u,U
AguafinaScript-Regular,b,h,H,d,D
AguafinaScript-Regular,c,r,R,e,E
AguafinaScript-Regular,d,b,B,j,J
AguafinaScript-Regular,e,b,B,s,S
AguafinaScript-Regular,f,q,Q,a,A
AguafinaScript-Regular,g,q,Q,o,O
AguafinaScript-Regular,h,m,M,k,K
AguafinaScript-Regular,i,j,J,l,L
AguafinaScript-Regular,j,i,I,g,G
AguafinaScript-Regular,k,h,H,b,B
AguafinaScript-Regular,l,i,I,b,B
AguafinaScript-Regular,m,w,W,n,N
AguafinaScript-Regular,n,h,H,m,M
AguafinaScript-Regular,o,c,C,v,V
AguafinaScript-Regular,p,r,R,f,F
AguafinaScript-Regular,q,g,G,a,A
AguafinaScript-Regular,r,p,P,n,N
AguafinaScript-Regular,s,j,J,i,I
AguafinaScript-Regular,t,l,L,i,I
AguafinaScript-Regular,u,n,N,w,W
AguafinaScript-Regular,v,r,R,p,P
AguafinaScript-Regular,w,v,V,m,M
AguafinaScript-Regular,x,r,R,k,K
AguafinaScript-Regular,y,g,G,w,W
AguafinaScript-Regular,z,l,L,x,X
Akronim-Regular,a,u,U,o,O
Akronim-Regular,b,u,U,o,O
Akronim-Regular,c,o,O,r,R
Akronim-Regular,d,a,A,u,U
Akronim-Regular,e,c,C,r,R
Akronim-Regular,f,t,T,i,I
Akronim-Regular,g,q,Q,a,A
Akronim-Regular,h,n,N,w,W
Akronim-Regular,i,l,L,j,J
Akronim-Regular,j,i,I,l,L
Akronim-Regular,k,z,Z,b,B
Akronim-Regular,l,i,I,u,U
Akronim-Regular,m,w,W,n,N
Akronim-Regular,n,r,R,o,O
Akronim-Regular,o,q,Q,a,A
Akronim-Regular,p,r,R,d,D
Akronim-Regular,q,a,A,o,O
Akronim-Regular,r,v,V,y,Y
Akronim-Regular,s,j,J,r,R
Akronim-Regular,t,a,A,z,Z
Akronim-Regular,u,a,A,m,M
Akronim-Regular,v,u,U,n,N
Akronim-Regular,w,m,M,u,U
Akronim-Regular,x,n,N,a,A
Akronim-Regular,y,u,U,v,V
Akronim-Regular,z,i,I,e,E
Aladin-Regular,a,n,N,d,D
Aladin-Regular,b,d,D,v,V
Aladin-Regular,c,r,R,o,O
Aladin-Regular,d,a,A,n,N
Aladin-Regular,e,c,C,s,S
Aladin-Regular,f,t,T,j,J
Aladin-Regular,g,i,I,q,Q
Aladin-Regular,h,b,B,l,L
Aladin-Regular,i,j,J,l,L
Aladin-Regular,j,i,I,u,U
Aladin-Regular,k,r,R,h,H
Aladin-Regular,l,i,I,z,Z
Aladin-Regular,m,n,N,w,W
Aladin-Regular,n,r,R,h,H
Aladin-Regular,o,d,D,v,V
Aladin-Regular,p,r,R,n,N
Aladin-Regular,q,i,I,o,O
Aladin-Regular,r,n,N,p,P
Aladin-Regular,s,c,C,g,G
Aladin-Regular,t,r,R,i,I
Aladin-Regular,u,a,A,v,V
Aladin-Regular,v,u,U,o,O
Aladin-Regular,w,v,V,n,N
Aladin-Regular,x,k,K,a,A
Aladin-Regular,y,x,X,v,V
Aladin-Regular,z,r,R,x,X
Aldrich-Regular,a,r,R,z,Z
Aldrich-Regular,b,h,H,o,O
Aldrich-Regular,c,e,E,r,R
Aldrich-Regular,d,a,A,b,B
Aldrich-Regular,e,z,Z,c,C
Aldrich-Regular,f,t,T,r,R
Aldrich-Regular,g,y,Y,q,Q
Aldrich-Regular,h,k,K,n,N
Aldrich-Regular,i,l,L,j,J
Aldrich-Regular,j,i,I,s,S
Aldrich-Regular,k,r,R,x,X
Aldrich-Regular,l,i,I,e,E
Aldrich-Regular,m,n,N,w,W
Aldrich-Regular,n,r,R,h,H
Aldrich-Regular,o,a,A,q,Q
Aldrich-Regular,p,r,R,b,B
Aldrich-Regular,q,g,G,a,A
Aldrich-Regular,r,n,N,p,P
Aldrich-Regular,s,a,A,g,G
Aldrich-Regular,t,c,C,k,K
Aldrich-Regular,u,a,A,v,V
Aldrich-Regular,v,u,U,o,O
Aldrich-Regular,w,v,V,n,N
Aldrich-Regular,x,z,Z,y,Y
Aldrich-Regular,y,g,G,q,Q
Aldrich-Regular,z,r,R,e,E
Alegreya-Black,a,n,N,r,R
Alegreya-Black,b,h,H,d,D
Alegreya-Black,c,e,E,r,R
Alegreya-Black,d,a,A,n,N
Alegreya-Black,e,c,C,z,Z
Alegreya-Black,f,e,E,k,K
Alegreya-Black,g,s,S,b,B
Alegreya-Black,h,b,B,l,L
Alegreya-Black,i,l,L,j,J
Alegreya-Black,j,i,I,z,Z
Alegreya-Black,k,r,R,b,B
Alegreya-Black,l,i,I,z,Z
Alegreya-Black,m,w,W,n,N
Alegreya-Black,n,r,R,h,H
Alegreya-Black,o,e,E,u,U
Alegreya-Black,p,y,Y,r,R
Alegreya-Black,q,g,G,a,A
Alegreya-Black,r,n,N,f,F
Alegreya-Black,s,c,C,g,G
Alegreya-Black,t,r,R,i,I
Alegreya-Black,u,v,V,n,N
Alegreya-Black,v,u,U,o,O
Alegreya-Black,w,n,N,v,V
Alegreya-Black,x,r,R,w,W
Alegreya-Black,y,g,G,s,S
Alegreya-Black,z,t,T,r,R
Alegreya-BlackItalic,a,n,N,r,R
Alegreya-BlackItalic,b,d,D,l,L
Alegreya-BlackItalic,c,r,R,e,E
Alegreya-BlackItalic,d,a,A,u,U
Alegreya-BlackItalic,e,b,B,c,C
Alegreya-BlackItalic,f,j,J,s,S
Alegreya-BlackItalic,g,q,Q,s,S
Alegreya-BlackItalic,h,b,B,l,L
Alegreya-BlackItalic,i,l,L,j,J
Alegreya-BlackItalic,j,i,I,z,Z
Alegreya-BlackItalic,k,r,R,h,H
Alegreya-BlackItalic,l,i,I,z,Z
Alegreya-BlackItalic,m,n,N,w,W
Alegreya-BlackItalic,n,r,R,h,H
Alegreya-BlackItalic,o,a,A,e,E
Alegreya-BlackItalic,p,r,R,y,Y
Alegreya-BlackItalic,q,g,G,a,A
Alegreya-BlackItalic,r,n,N,v,V
Alegreya-BlackItalic,s,c,C,x,X
Alegreya-BlackItalic,t,r,R,k,K
Alegreya-BlackItalic,u,v,V,n,N
Alegreya-BlackItalic,v,u,U,d,D
Alegreya-BlackItalic,w,v,V,u,U
Alegreya-BlackItalic,x,r,R,k,K
Alegreya-BlackItalic,y,j,J,v,V
Alegreya-BlackItalic,z,e,E,t,T
Alegreya-Bold,a,r,R,x,X
Alegreya-Bold,b,h,H,d,D
Alegreya-Bold,c,r,R,e,E
Alegreya-Bold,d,a,A,u,U
Alegreya-Bold,e,c,C,s,S
Alegreya-Bold,f,e,E,k,K
Alegreya-Bold,g,s,S,q,Q
Alegreya-Bold,h,k,K,b,B
Alegreya-Bold,i,l,L,j,J
Alegreya-Bold,j,i,I,u,U
Alegreya-Bold,k,r,R,x,X
Alegreya-Bold,l,i,I,z,Z
Alegreya-Bold,m,n,N,w,W
Alegreya-Bold,n,m,M,r,R
Alegreya-Bold,o,u,U,v,V
Alegreya-Bold,p,y,Y,r,R
Alegreya-Bold,q,g,G,p,P
Alegreya-Bold,r,n,N,v,V
Alegreya-Bold,s,c,C,g,G
Alegreya-Bold,t,r,R,c,C
Alegreya-Bold,u,v,V,n,N
Alegreya-Bold,v,u,U,o,O
Alegreya-Bold,w,n,N,v,V
Alegreya-Bold,x,o,O,y,Y
Alegreya-Bold,y,g,G,s,S
Alegreya-Bold,z,r,R,e,E
Alegreya-BoldItalic,a,n,N,u,U
Alegreya-BoldItalic,b,d,D,l,L
Alegreya-BoldItalic,c,r,R,a,A
Alegreya-BoldItalic,d,a,A,u,U
Alegreya-BoldItalic,e,c,C,s,S
Alegreya-BoldItalic,f,j,J,s,S
Alegreya-BoldItalic,g,q,Q,s,S
Alegreya-BoldItalic,h,n,N,b,B
Alegreya-BoldItalic,i,l,L,j,J
Alegreya-BoldItalic,j,i,I,z,Z
Alegreya-BoldItalic,k,r,R,h,H
Alegreya-BoldItalic,l,z,Z,i,I
Alegreya-BoldItalic,m,n,N,w,W
Alegreya-BoldItalic,n,h,H,r,R
Alegreya-BoldItalic,o,e,E,a,A
Alegreya-BoldItalic,p,y,Y,r,R
Alegreya-BoldItalic,q,a,A,g,G
Alegreya-BoldItalic,r,v,V,n,N
Alegreya-BoldItalic,s,c,C,g,G
Alegreya-BoldItalic,t,r,R,i,I
Alegreya-BoldItalic,u,v,V,a,A
Alegreya-BoldItalic,v,u,U,d,D
Alegreya-BoldItalic,w,m,M,v,V
Alegreya-BoldItalic,x,r,R,k,K
Alegreya-BoldItalic,y,j,J,v,V
Alegreya-BoldItalic,z,e,E,a,A
Alegreya-Italic,a,n,N,u,U
Alegreya-Italic,b,d,D,v,V
Alegreya-Italic,c,o,O,r,R
Alegreya-Italic,d,a,A,u,U
Alegreya-Italic,e,l,L,b,B
Alegreya-Italic,f,j,J,s,S
Alegreya-Italic,g,q,Q,o,O
Alegreya-Italic,h,n,N,b,B
Alegreya-Italic,i,j,J,l,L
Alegreya-Italic,j,i,I,g,G
Alegreya-Italic,k,r,R,b,B
Alegreya-Italic,l,z,Z,i,I
Alegreya-Italic,m,n,N,w,W
Alegreya-Italic,n,r,R,h,H
Alegreya-Italic,o,v,V,q,Q
Alegreya-Italic,p,r,R,y,Y
Alegreya-Italic,q,a,A,g,G
Alegreya-Italic,r,v,V,n,N
Alegreya-Italic,s,g,G,c,C
Alegreya-Italic,t,i,I,l,L
Alegreya-Italic,u,v,V,n,N
Alegreya-Italic,v,u,U,d,D
Alegreya-Italic,w,m,M,v,V
Alegreya-Italic,x,r,R,i,I
Alegreya-Italic,y,j,J,x,X
Alegreya-Italic,z,a,A,e,E
Alegreya-Regular,a,x,X,r,R
Alegreya-Regular,b,d,D,h,H
Alegreya-Regular,c,e,E,r,R
Alegreya-Regular,d,a,A,h,H
Alegreya-Regular,e,s,S,c,C
Alegreya-Regular,f,e,E,i,I
Alegreya-Regular,g,q,Q,s,S
Alegreya-Regular,h,k,K,b,B
Alegreya-Regular,i,l,L,j,J
Alegreya-Regular,j,i,I,g,G
Alegreya-Regular,k,l,L,r,R
Alegreya-Regular,l,i,I,z,Z
Alegreya-Regular,m,n,N,w,W
Alegreya-Regular,n,r,R,v,V
Alegreya-Regular,o,v,V,u,U
Alegreya-Regular,p,r,R,y,Y
Alegreya-Regular,q,p,P,r,R
Alegreya-Regular,r,n,N,k,K
Alegreya-Regular,s,c,C,g,G
Alegreya-Regular,t,r,R,z,Z
Alegreya-Regular,u,n,N,a,A
Alegreya-Regular,v,u,U,o,O
Alegreya-Regular,w,n,N,v,V
Alegreya-Regular,x,y,Y,e,E
Alegreya-Regular,y,v,V,g,G
Alegreya-Regular,z,r,R,e,E
AlegreyaSC-Black,a,r,R,n,N
AlegreyaSC-Black,b,d,D,s,S
AlegreyaSC-Black,c,g,G,r,R
AlegreyaSC-Black,d,p,P,b,B
AlegreyaSC-Black,e,f,F,b,B
AlegreyaSC-Black,f,e,E,r,R
AlegreyaSC-Black,g,c,C,e,E
AlegreyaSC-Black,h,a,A,n,N
AlegreyaSC-Black,i,l,L,r,R
AlegreyaSC-Black,j,i,I,t,T
AlegreyaSC-Black,k,r,R,x,X
AlegreyaSC-Black,l,i,I,g,G
AlegreyaSC-Black,m,n,N,x,X
AlegreyaSC-Black,n,r,R,m,M
AlegreyaSC-Black,o,e,E,u,U
AlegreyaSC-Black,p,r,R,e,E
AlegreyaSC-Black,q,r,R,e,E
AlegreyaSC-Black,r,n,N,k,K
AlegreyaSC-Black,s,c,C,e,E
AlegreyaSC-Black,t,r,R,c,C
AlegreyaSC-Black,u,o,O,v,V
AlegreyaSC-Black,v,u,U,o,O
AlegreyaSC-Black,w,v,V,n,N
AlegreyaSC-Black,x,o,O,r,R
AlegreyaSC-Black,y,i,I,x,X
AlegreyaSC-Black,z,n,N,j,J
AlegreyaSC-BlackItalic,a,s,S,r,R
AlegreyaSC-BlackItalic,b,s,S,d,D
AlegreyaSC-BlackItalic,c,g,G,e,E
AlegreyaSC-BlackItalic,d,v,V,b,B
AlegreyaSC-BlackItalic,e,f,F,c,C
AlegreyaSC-BlackItalic,f,e,E,r,R
AlegreyaSC-BlackItalic,g,c,C,e,E
AlegreyaSC-BlackItalic,h,a,A,b,B
AlegreyaSC-BlackItalic,i,l,L,j,J
